Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
WheelsEMI,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",Undisclosed,2018,14000000.0,Series B,Financial Services
Forum for Innovation Incubation Research and Entrepreneurship,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Undisclosed,2018,1537500.0,Grant,Finance and FinTech
OYO,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,Undisclosed,2018,100000000.0,Series E,Technology
Quikr,Bengaluru,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",Undisclosed,2018,8250000.0,Debt Financing,E-Commerce and Retail
Tabono,Gurgaon,Tabono is a one stop environment for all your fitness solution.,Undisclosed,2018,0.0,Seed Round,Media and Entertainment
LearnApp,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",Undisclosed,2018,300000.0,Seed Round,Finance and FinTech
Shopkirana,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,Undisclosed,2018,2000000.0,Venture - Series Unknown,E-Commerce and Retail
Fric Bergen,Alwar,Fric Bergen is a leader in the specialty food industry.,Undisclosed,2018,0.0,Venture - Series Unknown,Agriculture and Food
Articbot,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,Undisclosed,2018,18000.0,Grant,Artificial Intelligence
BuildSupply,Gurgaon,India’s most advanced ERP system for the real estate,Undisclosed,2018,3750000.0,Series A,Enterprise Resource Planning (ERP)
Fusion Microfinance,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Undisclosed,2018,78000000.0,Series E,Finance and FinTech
Any time Doctor,Chennai,Anytime Doctor is a Software company.,Undisclosed,2018,0.0,Angel,Technology
Go Payments,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Undisclosed,2018,0.0,Corporate Round,Information Services
Guiddoo World,Mumbai,We build In-Destination Experiences!,Undisclosed,2018,800000.0,Seed Round,Media and Entertainment
ION Energy,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Undisclosed,2018,1041000.0,Venture - Series Unknown,Energy and Environment
UnoTag,Bengaluru,SaaS to verify counterfeit,Undisclosed,2018,100000.0,Pre-Seed,Artificial Intelligence
CivilCops,Gurgaon,Gov-Tech,Undisclosed,2018,100000.0,Pre-Seed,Government
Rockmetric,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",Undisclosed,2018,0.0,Grant,Technology
Snapmint,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",Undisclosed,2018,0.0,Seed Round,Finance and FinTech
artbandhu,Bengaluru,Ai platform for Art and Creative Community,Undisclosed,2018,15000.0,Pre-Seed,Media and Entertainment
Survaider,Bengaluru,Stethoscope for customer feedback !,Undisclosed,2018,500000.0,Seed Round,Artificial Intelligence
Credy,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Undisclosed,2018,1400000.0,Seed Round,Finance and FinTech
iChamp,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,Undisclosed,2018,5000000.0,Seed Round,Education
Qandle,Gurgaon,A cloud-based HR management and employee engagement platform.,Undisclosed,2018,1200000.0,Seed Round,Technology
Avishkaar Box,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Undisclosed,2018,750000.0,Seed Round,Children
Gegadyne Energy,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,Undisclosed,2018,0.0,Angel,Transportation and Mobility
HyperXchange,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,Undisclosed,2018,1000000.0,Series A,E-Commerce and Retail
Deftouch,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,Undisclosed,2018,0.0,Seed Round,Media and Entertainment
Doodhwala,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Undisclosed,2018,2200000.0,Seed Round,Agriculture and Food
DronaHQ,Mumbai,DronaHQ is an enterprise mobile engagement platform.,Undisclosed,2018,500000.0,Angel,Mobile
FastFox,Gurgaon,FastFox: Market Network for Home Rentals (India),Undisclosed,2018,1500000.0,Series A,Real Estate and Construction
Colive.in,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,Undisclosed,2018,1800000.0,Seed Round,E-Commerce and Retail
Agricxlab Private Limited,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,Undisclosed,2018,500000.0,Seed Round,B2B
Corefactors,Bengaluru,"Corefactors is a leading campaign management, business communication and analytics company.",Undisclosed,2018,0.0,Seed Round,Marketing and Advertising
Fincash.com,Mumbai,A startup in the personal finance space in India .,Undisclosed,2018,150000.0,Seed Round,Finance and FinTech
Pandorum Technologies,Bengaluru,Bengaluru based biotech startup.,Undisclosed,2018,3600000.0,Series A,Healthcare and Wellness
Shirsa Labs,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Undisclosed,2018,500000.0,Seed Round,Education
PetSutra,Gurgaon,Gurugram-based Online petcare platform.,Undisclosed,2018,142500.0,Seed Round,Healthcare and Wellness
Awaaz De,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Undisclosed,2018,0.0,Angel,Internet
PinkBlue,Bengaluru,PinkBlue.in - Super-efficient supply-chain for clinical supplies,Undisclosed,2018,300000.0,Seed Round,Healthcare and Wellness
Eduvanz,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Undisclosed,2018,500000.0,Angel,Finance and FinTech
Rupeek,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,Undisclosed,2018,6830000.0,Series A,Financial Services
Backpacker Panda Holidays Private Limited,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,Undisclosed,2018,1400000.0,Series A,Travel
Shape (School Health and Physical Education),Pune,Physical education start up,Undisclosed,2018,200000.0,Seed Round,Education
Placio,Noida,Placio is a student housing and a complete broker-free platform.,Undisclosed,2018,2000000.0,Seed Round,Technology
Aviom India Housing Finance,New Delhi,Delhi based housing finance company.,Undisclosed,2018,2250000.0,Series A,Finance and FinTech
GenRobotic,Trivandrum,A Robotic Company.,Undisclosed,2018,0.0,Seed Round,Marketing and Advertising
HeyHolidays,Bengaluru,"HeyHolidays, a global player in online vacation rentals.",Undisclosed,2018,1000000.0,Seed Round,Travel
Pratilipi,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,Undisclosed,2018,4300000.0,Series A,Media and Entertainment
SectorQube,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Food Memories,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,Undisclosed,2018,0.0,Seed Round,Agriculture and Food
ZAMROO,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,Undisclosed,2018,0.0,Seed Round,Internet
Silversparro Technologies Pvt. Ltd,Gurgaon,Silversparro is a deep learning technology solution provider.,Undisclosed,2018,300000.0,Seed Round,Artificial Intelligence
Creator’s Gurukul,Gurgaon,A coworking space provider.,Undisclosed,2018,0.0,Angel,Technology
Emflux Motors,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Undisclosed,2018,364846.0,Seed Round,Transportation and Mobility
Tricog Health Services Pvt Ltd,Bengaluru,Predictive Healthcare Analytics Company,Undisclosed,2018,4000000.0,Series A,Healthcare and Wellness
Scapic,Bengaluru,Virtual/Augmented Reality Start Up .,Undisclosed,2018,500000.0,Seed Round,Technology
6Degree,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Undisclosed,2018,400000.0,Seed Round,Consumer Goods
Chrysalis (EZ Vidya),Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,Undisclosed,2018,0.0,Seed Round,Education
Ekincare,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Undisclosed,2018,1500000.0,Series A,Healthcare and Wellness
Streo,Gurgaon,"Live stream music from nightclubs, bars & festivals!",Undisclosed,2018,0.0,Seed Round,Media and Entertainment
Groww,Kormangala,Groww offers a new way of investing money.,Undisclosed,2018,120000.0,Seed Round,Finance and FinTech
Cell Propulsion,Bengaluru,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,Undisclosed,2018,105000.0,Seed Round,Transportation and Mobility
Chezuba,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Undisclosed,2018,21000.0,Angel,Internet
Ontrack Technologies Pvt. Ltd,Bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Wealthtrust,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Undisclosed,2018,500000.0,Seed Round,Finance and FinTech
Faclon Labs,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,Undisclosed,2018,0.0,Seed Round,Technology
Awign Enterprises,Bengaluru,Operations and manpower outsourcing startup,Undisclosed,2018,750000.0,Seed Round,Transportation and Mobility
CollPoll,Bengaluru,World-class Enterprise System for Education.,Undisclosed,2018,0.0,Seed Round,Education
Zyla Health,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,Undisclosed,2018,0.0,Seed Round,Healthcare and Wellness
Hubhopper,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,Undisclosed,2018,500000.0,Series A,Internet
Rubix108 Technologies,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,Undisclosed,2018,1000000.0,Seed Round,Technology
Workflexi,Bengaluru,"Be Smart, Work on Contract,Be Smart, Hire on Contract",Undisclosed,2018,150000.0,Seed Round,Human Resources
Streak,Bengaluru,Algorithmic trading platform.,Undisclosed,2018,337500.0,Seed Round,Financial Services
Kuants,Gurgaon,Algorithmic trading platform.,Undisclosed,2018,75000.0,Seed Round,Financial Services
NiYO Solutions,Bengaluru,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,Undisclosed,2018,13200000.0,Series A,Finance and FinTech
Hippo Video,Chennai,A video recording and sharing software.,Undisclosed,2018,0.0,Seed Round,Professional Services
Satvacart,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Daaki,Bengaluru,Sports Nutrition startup,Undisclosed,2018,0.0,Angel,Healthcare and Wellness
Simulanis,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,Undisclosed,2018,500000.0,Seed Round,Education
MY CHIRAAG CAB,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,Undisclosed,2018,1000000.0,Seed Round,Travel
WOTU,Bengaluru,It operates a business-to-business e-commerce portal for food and beverages.,Undisclosed,2018,0.0,Seed Round,Agriculture and Food
Flathalt,Gurgaon,FInd your Customized Home here.,Undisclosed,2018,50000.0,Angel,Real Estate and Construction
True Elements,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,Undisclosed,2018,750000.0,Seed Round,Agriculture and Food
Trendlyne Technologies,Bengaluru,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,Undisclosed,2018,200000.0,Seed Round,Financial Services
Planys Technologies,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,Undisclosed,2018,2103000.0,Series A,Industrial and Manufacturing
HealthPlix,Bengaluru,HealthPlix is a healthtech startup,Undisclosed,2018,3000000.0,Series A,Healthcare and Wellness
dishq,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,Undisclosed,2018,400000.0,Seed Round,Agriculture and Food
Entropik Technology,Bengaluru,The boundaries between Human and Machines are shrinking fast.,Undisclosed,2018,1100000.0,Seed Round,Artificial Intelligence
myHQ,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,Undisclosed,2018,500000.0,Series A,Professional Services
Trell,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,Undisclosed,2018,1250000.0,Seed Round,Technology
Kidovators (by GyanLab),Bengaluru,Building future human capital through 21st Century Skills programs for K-12,Undisclosed,2018,180000.0,Seed Round,Technology
Log 9 Materials,Noida,Log 9 Materials is a nano-materials manufacturing and RnD startup,Undisclosed,2018,450000.0,Seed Round,Technology
VTION,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,Undisclosed,2018,288000.0,Seed Round,Artificial Intelligence
HousingMan.com,Bengaluru,"New Apartments, Flats for Sale in Bangalore",Undisclosed,2018,1545000.0,Seed Round,Real Estate and Construction
Steradian Semiconductors,Bengaluru,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,Undisclosed,2018,0.0,Seed Round,Technology
RupeeCircle,Mumbai,RupeeCircle is a new age finance company.,Undisclosed,2018,600000.0,Seed Round,Financial Services
Wooden Street,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,Undisclosed,2018,1000000.0,Series A,E-Commerce and Retail
The Ken,Bengaluru,The Ken is India’s first subscriptions-only business news site,Undisclosed,2018,1500000.0,Series A,Media and Entertainment
SaffronStays,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,Undisclosed,2018,2000000.0,Seed Round,Technology
Vebbler,Bengaluru,A personal network for close people,Undisclosed,2018,0.0,Seed Round,File Sharing
Foyr,Pune,"Foyr.com is India's first online, automated interior designer",Undisclosed,2018,4200000.0,Series A,Real Estate and Construction
MEngage,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,Undisclosed,2018,175000.0,Seed Round,Healthcare and Wellness
Inner Being Wellness,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",Undisclosed,2018,525000.0,Angel,Healthcare and Wellness
Kobster,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Wishberry,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Undisclosed,2018,1500000.0,Series A,Finance and FinTech
McXtra,Andheri,McXtra is a digital insurance broking startup.,Undisclosed,2018,1300000.0,Seed Round,Finance and FinTech
Magic Crate,Bengaluru,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Undisclosed,2018,0.0,Seed Round,Children
SmartVizX,Noida,It is a Virtual Reality Solutions StartUp,Undisclosed,2018,1450000.0,Seed Round,Technology
MySEODoc,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",Undisclosed,2018,0.0,Seed Round,Marketing and Advertising
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,Digital Marketing Agency,Undisclosed,2018,3000.0,Seed Round,Marketing and Advertising
Scale Labs,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,Undisclosed,2018,1000000.0,Seed Round,E-Commerce and Retail
HungerBox,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,Undisclosed,2018,4500000.0,Series A,B2B
Biryani By Kilo,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,Undisclosed,2018,1000000.0,Seed Round,Agriculture and Food
Wholesome Habits (EAT Anytime),Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,Undisclosed,2018,500000.0,Seed Round,Agriculture and Food
GoBumpr,Mylapore,Car Service and Bike Service Mobile App,Undisclosed,2018,600000.0,Seed Round,Transportation and Mobility
Fixpocket,Ahmedabad,Fixpocket is a internet-based startup.,Undisclosed,2018,250000.0,Seed Round,Technology
edureka!,Bengaluru,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Undisclosed,2018,2000000.0,Series A,Android
Hashtag Loyalty Private Limited,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,Undisclosed,2018,0.0,Seed Round,Artificial Intelligence
Wow Express,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",Undisclosed,2018,4500000.0,Series A,Transportation and Mobility
ZunRoof,Gurgaon,ZunRoof is a rooftop focused solar startup.,Undisclosed,2018,249000.0,Angel,Energy and Environment
Eggoz,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,Undisclosed,2018,180000.0,Angel,Agriculture and Food
Sqrrl Fintech,Gurgaon,Personal Finance,Undisclosed,2018,1000000.0,Seed Round,Technology
GalaxyCard,Noida,GalaxyCard is a mobile based Instant credit card.,Undisclosed,2018,0.0,Seed Round,Finance and FinTech
IndiQube,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,Undisclosed,2018,15000000.0,Series A,Real Estate and Construction
EGK Foods,Mumbai,A food processing enterprise registered with StartUp India .,Undisclosed,2018,300000.0,Seed Round,Agriculture and Food
NirogStreet,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Undisclosed,2018,300000.0,Seed Round,Apps
Pixr8,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,Undisclosed,2018,50000.0,Seed Round,Media and Entertainment
Nivesh.com,Noida,Nivesh.com is a mass market mutual funds investment platform.,Undisclosed,2018,450000.0,Seed Round,Finance and FinTech
Theranosis Life Sciences,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,Undisclosed,2018,0.0,Seed Round,Healthcare and Wellness
Poshmiles Online Solutions Private Limited,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Undisclosed,2018,0.0,Seed Round,Travel
Reculta,Noida,A campus recruitment solution provider.,Undisclosed,2018,0.0,Seed Round,Education
Orbo.ai,Mumbai,Orbo is a computer vision and deep facial technology company.,Undisclosed,2018,0.0,Seed Round,Internet
Inntot Technologies,Kochi,"Inntot Technologies, is a technology driven company.",Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Zoctr Health,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Undisclosed,2018,0.0,Seed Round,Apps
Hey Deedee,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Undisclosed,2018,495000.0,Seed Round,Transportation and Mobility
DigiConnectt Technologys,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Undisclosed,2018,125000.0,Seed Round,Information Services
Locus.sh,Bengaluru,Locus is an intelligent logistics automation platform.,Undisclosed,2018,4000000.0,Series A,Technology
Sports Flashes Pvt. Ltd,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Undisclosed,2018,1000000.0,Seed Round,Basketball
Inc42,New Delhi,Inc42 is one of the leading tech media publications of India.,Undisclosed,2018,0.0,Seed Round,Media and Entertainment
Picxy,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",Undisclosed,2018,130000.0,Seed Round,Internet
Huddle,Chandigarh,A coworking incubator Company.,Undisclosed,2018,300000.0,Seed Round,Professional Services
Benepik,Gurgaon,HR Technology start-up.,Undisclosed,2018,0.0,Seed Round,Human Resources
Cash Suvidha,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Undisclosed,2018,1000000.0,Seed Round,Finance and FinTech
Smartcoin,Bengaluru,Providing financial access to the millions of mobile users in India using alternative credit assessment,Undisclosed,2018,2000000.0,Seed Round,Technology
Carmel Organics,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Undisclosed,2018,0.0,Series A,Agriculture and Food
Roadcast,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,Undisclosed,2018,250000.0,Angel,Professional Services
Printline Media(ThePrint),New Delhi,A digital news platform.,Undisclosed,2018,523500.0,Seed Round,Media and Entertainment
Creditas Solutions,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Undisclosed,2018,0.0,Seed Round,Financial Services
UrbanPiper,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Undisclosed,2018,0.0,Seed Round,Technology
Doxper,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Undisclosed,2018,1080000.0,Seed Round,Healthcare and Wellness
i2ifunding,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Undisclosed,2018,750000.0,Angel,Finance and FinTech
ShakeDeal,Bengaluru,Home of B2B Commerce,Undisclosed,2018,0.0,Seed Round,B2B
HelloVerify,Noida,HelloVerify is an online background check platform.,Undisclosed,2018,0.0,Seed Round,Finance and FinTech
Fasal,Bengaluru,Climate Smart Precision Agriculture Platform,Undisclosed,2018,120000.0,Seed Round,Agriculture and Food
CoinGeto,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,Undisclosed,2018,1800000.0,Seed Round,Finance and FinTech
Avail Finance,Bengaluru,Avail is a mobile-first platform aiming to financially include the urban mass of India.,Undisclosed,2018,17200000.0,Series A,Finance and FinTech
Tripeur,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Undisclosed,2018,600000.0,Seed Round,Technology
Wedeterna,Bengaluru,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Undisclosed,2018,0.0,Angel,Wedding
Stumagz,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Undisclosed,2018,0.0,Seed Round,Media and Entertainment
Doubtnut,Gurgaon,Gurgaon based E-learning platform.,Undisclosed,2018,525000.0,Seed Round,Education
MCaffeine,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Undisclosed,2018,480000.0,Seed Round,E-Commerce and Retail
TrustCheckr,Bengaluru,A Bengaluru-based fraud analytics solution provider .,Undisclosed,2018,100000.0,Angel,Technology
HealthAssure,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,Undisclosed,2018,1000000.0,Seed Round,Healthcare and Wellness
Picture TIme,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,Undisclosed,2018,3750000.0,Seed Round,Media and Entertainment
1Crowd,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Undisclosed,2018,3500000.0,Angel,Finance and FinTech
Aarav Unmanned Systems,Bengaluru,Professional Drones for Enterprise Applications,Undisclosed,2018,0.0,Seed Round,Transportation and Mobility
Wellthy Therapeutics Pvt Ltd,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Undisclosed,2018,2025000.0,Seed Round,Healthcare and Wellness
Nua,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Undisclosed,2018,0.0,Seed Round,E-Commerce and Retail
Kuvera.in,Bengaluru,An online platform for mutual fund investments.,Undisclosed,2018,250000.0,Angel,Financial Services
Livehealth,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Undisclosed,2018,1100000.0,Seed Round,Healthcare and Wellness
Gramophone,Indore,An agricultural inputs startup Company.,Undisclosed,2018,1000000.0,Seed Round,Agriculture and Food
Ora,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Undisclosed,2018,0.0,Seed Round,Travel
Buddy4Study.com,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Undisclosed,2018,3000000.0,Series A,Healthcare and Wellness
Predible Health,Bengaluru,Healthcare devices for cancer detection,Undisclosed,2018,0.0,Seed Round,Healthcare and Wellness
Syncremedies Healthcare Pvt Ltd,Bengaluru,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Undisclosed,2018,0.0,Seed Round,Healthcare and Wellness
Blueleaf Cyberspace Systems,Bengaluru,Bluleaf Cyberspace is Cloud Based Software Company.,Undisclosed,2018,0.0,Seed Round,Internet
Toffee,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Undisclosed,2018,1500000.0,Seed Round,Finance and FinTech
ORO Wealth,Mumbai,Online wealth management platform,Undisclosed,2018,1600000.0,Series A,Financial Services
HealWell24,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Undisclosed,2018,200000.0,Seed Round,Healthcare and Wellness
Acko General Insurance,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Undisclosed,2018,12000000.0,Series A,Financial Services
arzooo.com,Bengaluru,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Undisclosed,2018,225000.0,Seed Round,E-Commerce and Retail
Bonphul Air Products,Delhi,A clean tech product Company,Undisclosed,2018,300000.0,Angel,Energy and Environment
DheeYantra Research Labs,Bengaluru,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Undisclosed,2018,0.0,Seed Round,Artificial Intelligence
Edyoo,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Undisclosed,2018,1000000.0,Seed Round,Education
Chtrbox,Mumbai,Chtrbox connects social media influencers with brands .,Undisclosed,2018,150000.0,Angel,Marketing and Advertising
Aashiyaan Housing and Development Finance,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Undisclosed,2018,2025000.0,Seed Round,Financial Services
BetterPlace Safety Solutions Pvt. Ltd.,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Undisclosed,2018,3000000.0,Series A,Human Resources
Cashkumar,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Undisclosed,2018,750000.0,Seed Round,Finance and FinTech
Rocketium,Bengaluru,Easy video creation for social media.,Undisclosed,2018,300000.0,Seed Round,Marketing and Advertising
FreightBazaar,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Undisclosed,2018,0.0,Seed Round,Transportation and Mobility
OPEN,Bengaluru,Open up to a new world of Banking,Undisclosed,2018,0.0,Seed Round,Finance and FinTech
mfine,Bengaluru,Hospital & Health Care Start up,Undisclosed,2018,4200000.0,Series A,Healthcare and Wellness
Earth Food,Pune,Earth Food is a healthy Food Start Up.,Undisclosed,2018,960000.0,Seed Round,Agriculture and Food
Charcoal Eats,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,Undisclosed,2018,750000.0,Seed Round,Agriculture and Food
Wishfie,Bengaluru,A platform for people to express their opinions in form of short videos around any topic.,Undisclosed,2018,0.0,Seed Round,Apps
The Social Hook,Bengaluru,Fast growing Influencer Marketing platform in India.,Undisclosed,2018,0.0,Seed Round,Marketing and Advertising
FreightBro,Mumbai,Software for the new-age freight,Undisclosed,2018,0.0,Seed Round,Apps
Finwego,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Undisclosed,2018,0.0,Seed Round,Financial Services
Cricnwin,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,Undisclosed,2018,0.0,Seed Round,Media and Entertainment
